models
aphrodite/TheDrummer/Llama-3SOME-8B-v2
koboldcpp/Gemmasutra-Mini-2B-v1-Q4_K_M
koboldcpp/Qwen2.5-32B-AGI-IQ4_XS
koboldcpp/tinyllama
koboldcpp/L3-8B-Lunaris-v1
Henk717/airochronos-33B
"koboldcpp/
Rocinante-12B-v1"
koboldcpp/mistral-7b-instruct-v0.2.Q4_K_M
koboldcpp/Meta-Llama-3.1-8B-Instruct
koboldcpp/Meta-Llama-3-8B-Instruct
koboldcpp/L3-8B-Stheno-v3.2
koboldcpp/KoboldAI/LLaMA2-13B-Tiefighter
koboldcpp/Psyonic-Cetacean-Ultra-Quality-20b
koboldcpp/TheGreenLion-8B-SFT-v0.1.2
anthracite-org/magnum-v2-72b
koboldcpp/Cydonia-22B-v1
koboldcpp/LLaMA2-13B-Psyfighter2
koboldcpp/EsomainMysteryMix
Lumimaid-v0.2-70B-bpw4.0-h8-exl2::TeeZee#313920
koboldcpp/MN-12B-Mag-Mell-R1
koboldcpp/gemma-2-2b-it-Q8_0
koboldcpp/KobbleTiny-1.1B
koboldcpp/ArliAI-RPMax-12B-v1.1-Q6_K
aphrodite/anthracite-org/magnum-12b-v2
koboldcpp/KobbleTinyV2-1.1B.Q4_K_M
Sao10K/L3.1-70B-Hanami-x1
koboldcpp/Llama-3-Lumimaid-8B-v0.1-OAS
koboldcpp/Gemma-2-Ataraxy-9B-Q4_K_L
koboldcpp/magnum-v3-27b-kto
aphrodite/elinas/Chronos-Gold-12B-1.0
koboldcpp/Mistral-7B-Instruct-v0.3.Q3_K_M
koboldcpp/Hathor_Stable-L3-8B-v0.5-Q8_0
koboldcpp/NemoMix-Unleashed-12B-Q5_K_M
Sao10K/L3.1-70B-Euryale-v2.2
koboldcpp/crestfall-mythomax-L2-13b-q5_k_m
koboldcpp/Big-Tiger-Gemma-27B-v1-Q5_K_L
koboldcpp/Buddy-2B-v1_iQ4nl
